别名	七星草
别名	大萹蓄
别名	大蓄片
别名	萹蔓
别名	萹
别名	铁绵草
别名	残竹草
别名	野铁扫把
别名	竹节草
别名	萹竹
别名	扁竹
别名	斑鸠台
别名	铁片草
别名	萹蓄蓼
别名	扁蓄
别名	牛鞭草中药
别名	鸟蓼
别名	大铁马鞭
别名	扁畜
别名	竹
别名	萹茿
别名	猪圈草
别名	桌面草
别名	扁竹蓼
别名	路边草
别名	乌蓼
别名	道生草
别名	猪牙草
别名	粉节草
别名	疳积药
别名	编竹
别名	地萹蓄
别名	妹子草
别名	地蓼
别名	扁猪牙
别名	扁猪牙萹蓄
别名	百节
别名	蓄辩
别名	路柳
别名	畜辩
别名	百节草
功能	杀虫止痒
功能	利尿
主治	癃闭
主治	痔肿
主治	阴痒带下
主治	膀胱热淋
主治	疳积
主治	白带
主治	皮肤湿疮
主治	痔疾
主治	蛔虫
主治	皮肤湿疹
主治	蛲虫病
主治	淋沥涩痛
主治	湿疮
主治	钩虫病
主治	小便短赤
主治	妇女蚀
主治	阴蚀
中药名	萆薢
别名	赤节
别名	山田薯
别名	百枝
别名	竹木
别名	硬饭团
别名	土薯蓣
别名	白菝葜
别名	金刚
别名	麻甲头
别名	川萆薢
别名	粉萆薢
功能	利湿浊
功能	祛风湿
主治	白浊
主治	淋浊
主治	腰膝疼痛
主治	湿热疮毒
主治	膏淋
主治	风湿顽痹
中药名	菠萝皮
别名	草菠萝
别名	地菠萝
别名	波罗
别名	番娄子
别名	露兜子
分布	海南
功能	止痢
中药名	菠菜子
别名	刺薐菜子
别名	刺蒺藜
功能	清肝明目;止咳平喘
主治	咳喘
主治	风火目赤肿痛
中药名	菝葜叶
主治	肿毒
主治	臁疮
主治	蜈蚣咬伤
主治	烫伤
主治	风肿
中药名	菝葜
别名	金刚藤
别名	金刚头
别名	金刚树
别名	霸王力
别名	冷饭头
别名	路边刷
别名	鲎壳藤
别名	金刚骨
别名	鸡肝根
别名	金刚根
别名	马加刺兜
别名	金刚鞭
别名	铁菱角
别名	马鞍宫
别名	马甲
别名	硬饭头
别名	冷饭巴
别名	王瓜草
别名	鲎壳刺
别名	饭巴铎
别名	霸王引
别名	马加勒
别名	沟谷刺
别名	铁刷子
别名	筋骨柱子
别名	龙爪菜
别名	金巴斗
别名	豺狗刺
别名	普贴
别名	假萆薢
别名	金刚刺
别名	铁刺苓
别名	山菱角
别名	红灯果
别名	山梨儿
功能	利小便
功能	祛风利湿
功能	解毒消痈
功能	消肿毒
主治	胃肠炎
主治	肌肉麻木
主治	疔疮
主治	癌症
主治	关节疼痛
主治	糖尿病
主治	顽癣
中药名	荸荠
别名	乌芋
别名	苾荠
别名	葃菇
别名	红慈菇
别名	黑山棱
别名	凫茈
别名	通天草
别名	凫茨
别名	地栗
别名	葧脐
别名	马薯
别名	铁葧脐
别名	地梨
别名	乌茨
别名	芍
别名	水芋
别名	马蹄
功能	清热生津
主治	温病口渴
主治	痔疮出血
主治	消渴
主治	痞积
主治	痰热咳嗽
主治	热病伤津烦渴
主治	硅肺
主治	愠病消渴
主治	嚼喉肿痛
主治	赘疣
主治	高血压病
中药名	苞蔷薇根
别名	大红袍
别名	毛刺头
别名	金柿根
别名	猴局根
功能	活血调经
功能	敛肺涩肠
功能	散结解毒
功能	止汗
功能	益脾补肾
主治	阴挺
主治	腰膝酸软
主治	盗汗
主治	脚气
主治	胃脘痛
主治	咳嗽气喘
主治	风湿痛
主治	子宫脱垂
主治	久泻
主治	疝气
主治	下肢水肿
中药名	芭蕉花
功能	通经
功能	化痰消痞
功能	和瘀
功能	散瘀
功能	化痰软坚
功能	止痛
功能	平肝
主治	脘腹痞疼
主治	吞酸反胃
主治	妇女经行不畅
主治	心痛
主治	胸膈饱胀
主治	怔忡
主治	呕吐痰涎
主治	心痛怔忡
主治	头目昏眩
中药名	芭蕉根
别名	芭蕉头
功能	止渴
主治	痈肿
主治	血崩
主治	热病
主治	痈肿疔毒
主治	天行热病
主治	烦闷
主治	丹毒
主治	烦闷消渴
主治	血淋
中药名	芭蕉头
别名	板蕉
别名	牙蕉
别名	芭蕉
主治	外用治中耳炎
主治	痈疖肿毒
主治	感冒咳嗽
主治	创伤出血
中药名	芭茅果
别名	苦芦骨
别名	牛草果
功能	解表透疹
功能	行气调经
主治	小儿疹出不透
中药名	芭茅
别名	竿青
别名	竿芒
功能	清热通淋
功能	祛风和湿
主治	石淋
中药名	篦梳剑
别名	手指甲
别名	分金草
别名	斩蛇剑
别名	叶下青
别名	小石剑
别名	手甲草
别名	蛇轮草
别名	舌子风
别名	小金刀
别名	青根
别名	小连铁草
别名	矛叶蹄盖蕨
别名	石箬
别名	剑叶卷莲
别名	山鸭蕨
别名	闩门草
别名	天蜈蚣
分布	华东
分布	华南
功能	止血通淋
功能	利尿通淋
功能	凉血
主治	肺脓疡
主治	脚癣
主治	小儿久热不退
主治	咳血
主治	热淋尿血
主治	肺结核咳痰带血
主治	小便不利或尿闭
主治	肺结核咯血
主治	血尿
中药名	篦子草
别名	小牛肋巴
别名	舒筋草
主治	肢体麻木
中药名	篦子舒筋草
别名	牛肋巴
别名	凤尾草
功能	散寒
功能	活络
功能	舒筋
功能	消肿散结
主治	手指麻木
主治	瘰疬痞块
主治	痞块
主治	风湿筋骨痛
中药名	笔管榕
别名	鸟榕
别名	笔管树
别名	雀榕
别名	漆娘舅
主治	鹅儿疮
