方剂	方剂
功能主治	胁肋绞急疼痛
功能主治	喘息短气
处方	鳖甲丸_47
功能主治	癖块不消
处方	鳖甲丸_48
中药名	白矾
中药名	猪牙皂角
功能主治	肠痔
处方	鳖甲丸_49
剂量	14个
功能主治	产后积聚
功能主治	按之跃手
功能主治	食饮不为肌肤
功能主治	萎黄不耐劳苦
功能主治	呕逆上气
功能主治	月水闭塞
处方	鳖甲丸_50
功能主治	小儿腹痛不可忍
功能主治	大便不通
处方	鳖甲丸_51
中药名	赤石脂
中药名	川椒
中药名	鹿茸
中药名	禹余粮
功能主治	妇人虚冷
功能主治	腹中积聚
功能主治	月事往来
功能主治	时苦腹满
功能主治	绕脐下引腰背
功能主治	时腹心中闷
功能主治	体瘦
功能主治	不欲食
处方	鳖甲丸_52
功能主治	当胃管
功能主治	结聚如杯
功能主治	积久不散
功能主治	腹胁疼痛
功能主治	体瘦成劳
处方	鳖甲丸_53
剂量	2-7个
功能主治	腹中痞气癖硬
处方	鳖甲丸_54
中药名	独行根
功能主治	恶注心痛
功能主治	五脏气壅
功能主治	胸膈两胁拘急
功能主治	发则呕吐清水
处方	鳖甲丸_55
中药名	北五味子
功能主治	劳嗽
功能主治	鼻流清涕
功能主治	耳作蝉鸣
功能主治	眼见黑花
功能主治	及一切虚证
功能主治	久咳肺阴虚者
处方	鳖甲丸_56
功能主治	妇人月水不通
功能主治	渐为症块
功能主治	面上斑点
处方	鳖甲丸_57
中药名	盐
中药名	远志
中药名	缩砂仁
中药名	苁蓉
中药名	白蔹
中药名	虎骨
功能主治	风劳
功能主治	肌瘦面黄
处方	鳖甲丸_58
剂量	1分半
剂量	10个
功能主治	小儿羸瘦
功能主治	不生肌肉
功能主治	食饮不多
功能主治	腹大
功能主治	面目萎黄
功能主治	不长
处方	鳖甲丸_59
功能主治	症块冲心
功能主治	气满食不下
功能主治	手足烦闷
处方	鳖甲丸_60
功能主治	妇人
功能主治	童男
功能主治	室女五劳七伤
功能主治	传疰
功能主治	伏连
功能主治	飞尸
功能主治	尸注
功能主治	八极
功能主治	骨蒸肺痿
功能主治	黄瘦虚劳无肉
功能主治	肌肉不生
功能主治	妇人血蒸
功能主治	血蒸劳气
功能主治	室女月闭
功能主治	气块肠痛
功能主治	经脉不调
功能主治	干嗽
功能主治	咽膈不利
功能主治	症瘕积块
