方剂	方剂
功能主治	咳嗽不止
方名	贝羚胶囊
处方	贝羚胶囊
中药名	川贝母
中药名	猪脱氧胆酸
中药名	人工竺黄
中药名	青礞石
中药名	硼砂
功能主治	清热化痰
功能主治	止咳平喘
功能主治	用于痰热阻肺
功能主治	气喘咳嗽
功能主治	小儿肺炎
功能主治	喘息性支气管炎及成人慢性支气管炎见上述证候者
方名	贝母麦冬饮
处方	贝母麦冬饮
中药名	栝楼仁
功能主治	麻疹咳嗽
来源	麻科活人
方名	贝母膏
处方	贝母膏_1
剂量	3钱半
剂量	2钱半
中药名	南星
剂量	子2钱半
中药名	厚黄柏
中药名	虢丹
功能主治	诸恶疮
功能主治	顽痒烘热
功能主治	及妇人血风
功能主治	遍身红斑圆点
功能主治	斑肿渐发疹痱
功能主治	开烂成疱痒痛
功能主治	头秃疮
处方	贝母膏_2
中药名	黑玄参
中药名	橘红
中药名	粉甘草
功能主治	小儿风热天哮
来源	冯氏锦囊·杂证
来源	直指
方名	贝母白芷内消散
处方	贝母白芷内消散
中药名	大贝母
功能主治	乳痈
来源	医学从众录
方名	贝母瓜蒌汤
处方	贝母瓜蒌汤
中药名	瓜蒌仁
中药名	天南星
中药名	薄桂
功能主治	肥人中风
功能主治	不分左右
来源	古今医鉴
方名	贝母瓜蒌散
处方	贝母瓜蒌散_1
功能主治	小儿内热
功能主治	夜热潮热
功能主治	昼轻夜重
功能主治	或口渴
功能主治	或腹胀
功能主治	或盗汗
功能主治	症因伏燥者
处方	贝母瓜蒌散_2
中药名	瓜蒌霜
功能主治	肺火壅遏头眩
处方	贝母瓜蒌散_3
功能主治	燥痰涩而难出
处方	贝母瓜蒌散_4
功能主治	口眼?斜
功能主治	手足麻木
功能主治	左右俱作痰治
处方	贝母瓜蒌散_5
中药名	胆南星
中药名	黑山栀
功能主治	类中风
功能主治	肺火壅遏者
功能主治	肺热液干
来源	笔花医镜
来源	医学心悟
来源	证因方论集要
方名	贝母瓜篓散
处方	贝母瓜篓散
剂量	2.4克
功能主治	化痰润肺
功能主治	主燥热伤肺
功能主治	咳嗽痰黄
功能主治	咯吐不爽
方名	贝母煎
处方	贝母煎_1
剂量	90克
中药名	百部根
功能主治	化痰润肺止咳
功能主治	主暴热咳嗽
处方	贝母煎_2
功能主治	卒咳嗽
功能主治	痰涎喘急
处方	贝母煎_3
功能主治	暴热咳
处方	贝母煎_4
中药名	桑皮
中药名	苏子
中药名	百合
中药名	前罔
中药名	枇杷叶
功能主治	小儿肺热胀满
功能主治	发为龟胸
处方	贝母煎_5
中药名	榧子仁
功能主治	漏疮积年不愈者
来源	医学集成
方名	贝母汤
处方	贝母汤_1
中药名	桑白皮
功能主治	主咳嗽日久不愈
处方	贝母汤_2
中药名	桑白皮<锉）五味子
功能主治	化痰止咳
功能主治	主暴发咳嗽
功能主治	多日不愈
处方	贝母汤_3
功能主治	伤寒壮热加嗽
处方	贝母汤_4
功能主治	伤风
功能主治	暴得咳嗽
处方	贝母汤_5
剂量	70枚
功能主治	咳逆
功能主治	喉中如水鸡声
处方	贝母汤_6
功能主治	100日内婴孩咳嗽有痰
处方	贝母汤_7
剂量	2分半
功能主治	久嗽虚寒不已
处方	贝母汤_8
功能主治	肺劳实热
功能主治	咳嗽喘急
功能主治	烦热颊赤
处方	贝母汤_9
中药名	车前子
中药名	广陈皮
中药名	远志肉
中药名	钩藤
中药名	桂园肉
功能主治	产后内热咳嗽
功能主治	心神不宁
处方	贝母汤_10
功能主治	气滞血阻
功能主治	脉络不通
功能主治	乳道壅闭
功能主治	无乳
处方	贝母汤_11
功能主治	饮水过多
功能主治	卒上气发热
处方	贝母汤_12
功能主治	产后肿满
功能主治	喘急咳嗽
处方	贝母汤_13
功能主治	诸嗽久不愈
处方	贝母汤_14
剂量	20枚
中药名	淡竹叶
功能主治	乳石发
功能主治	上气肺热
功能主治	呀嗽
功能主治	多涕唾
处方	贝母汤_15
功能主治	肺中风
功能主治	咳嗽喘满
来源	医彻
来源	产孕集
来源	御药院方
来源	活幼心书
方名	贝母散
处方	贝母散_1
中药名	半夏曲饼子
功能主治	主新久咳嗽
处方	贝母散_2
功能主治	宜肺平喘
功能主治	主伤寒汗出而喘促
功能主治	烦热头痛者
处方	贝母散_3
中药名	马兜铃
功能主治	主小儿咳嗽
功能主治	少欲乳食
处方	贝母散_4
功能主治	小儿伤寒
功能主治	痰逆咳嗽
处方	贝母散_5
功能主治	小儿咳嗽
处方	贝母散_6
功能主治	人面疮
处方	贝母散_7
中药名	皂荚子
中药名	葶苈子
功能主治	小儿感寒咳嗽
功能主治	痰涎不利
处方	贝母散_8
中药名	紫蔻
功能主治	状如呀者
处方	贝母散_9
功能主治	咳嗽上气
功能主治	喘急失声
处方	贝母散_10
中药名	刺蓟
功能主治	热病鼻衄不止
处方	贝母散_11
中药名	钟乳粉
中药名	白石英
中药名	羊肺
功能主治	久咳嗽
功能主治	昼夜不息
功能主治	气奔欲绝
功能主治	肺伤唾脓血
处方	贝母散_12
功能主治	热嗽及痰喘
处方	贝母散_13
处方	贝母散_14
中药名	款花
功能主治	久嗽
功能主治	暴发咳嗽
处方	贝母散_15
中药名	鹿角胶
功能主治	妊娠
功能主治	肺损咳嗽
功能主治	喘促不思食
处方	贝母散_16
功能主治	小儿咳嗽喘闷
处方	贝母散_17
功能主治	难产
处方	贝母散_18
中药名	贝母者
剂量	10枚大
处方	贝母散_19
功能主治	久咳上气
功能主治	喉中鸣
功能主治	昼夜不得卧
处方	贝母散_20
处方	贝母散_21
功能主治	马疔
处方	贝母散_22
功能主治	乳疖
处方	贝母散_23
功能主治	时气病
处方	贝母散_24
中药名	紫菀草
功能主治	小儿肺感寒邪
功能主治	睡卧不安
处方	贝母散_25
处方	贝母散_26
中药名	罂粟壳
功能主治	乳儿嗽不已
处方	贝母散_27
中药名	曲饼子
功能主治	远年近日嗽
处方	贝母散_28
功能主治	小儿久嗽不止
功能主治	痰吐喘闷
功能主治	气噎
处方	贝母散_29
功能主治	小儿白口疮
功能主治	满口如浸饼起者
来源	医学六要
来源	杨氏家藏方
来源	鸡峰普济方
来源	证类本草
别名	二母汤
别名	贝母饮
别名	一捻金
别名	二母散
方名	贝母括痰丸
处方	贝母括痰丸
中药名	天竺黄
功能主治	宁肺治标
功能主治	主久嗽伤金
功能主治	肺痈肺痿
方名	贝母丸
处方	贝母丸_1
功能主治	宜肺止咳
功能主治	化痰平喘
功能主治	主伤寒后
功能主治	暴嗽喘急
功能主治	欲成肺痿劳嗽
处方	贝母丸_2
功能主治	便毒
处方	贝母丸_3
中药名	木乳
功能主治	妇人咳嗽不止
处方	贝母丸_4
功能主治	伤寒后暴嗽
功能主治	喘急
处方	贝母丸_5
中药名	菖蒲
功能主治	肺脏伤风冷
功能主治	喘促咳嗽
功能主治	言语声嘶
处方	贝母丸_6
功能主治	咳嗽作呀呷声
功能主治	小儿齁(鼻合)
处方	贝母丸_7
处方	贝母丸_8
中药名	山芋
功能主治	上膈烦满
处方	贝母丸_9
中药名	秦椒
中药名	粳米
中药名	大豆黄卷
功能主治	妇女横产
功能主治	或颠倒
功能主治	胞衣不出
功能主治	伤毁不下
功能主治	产后余病
功能主治	汗出
功能主治	烦满不止
功能主治	少气逆满
处方	贝母丸_10
中药名	旋覆花
功能主治	伤寒心肺有热
功能主治	喉中作声
功能主治	痰涕口干
处方	贝母丸_11
功能主治	咽喉中干
功能主治	肺热咳嗽多痰
处方	贝母丸_12
剂量	10枚
功能主治	产后头面四肢肿满
处方	贝母丸_13
中药名	贝母不以多少
功能主治	消痰热
功能主治	润肺止咳
功能主治	主久嗽
功能主治	咽嗌妨闷
功能主治	咽痛咯血
功能主治	肺痈
功能主治	肺痿
处方	贝母丸_14
中药名	蛤蚧
剂量	1对
中药名	防己
功能主治	脚气咳嗽
别名	百花丸
别名	千金丸
方名	贝子散
处方	贝子散
功能主治	毒箭伤
功能主治	及中毒
功能主治	金疮
方名	贝叶膏
处方	贝叶膏
中药名	血余鸡子大1团
功能主治	定痛
功能主治	去腐生肌
功能主治	主痈疽发背
功能主治	一切溃烂诸疮
方名	豹骨木瓜丸
处方	豹骨木瓜丸
中药名	豹骨
中药名	山药
中药名	锁阳
中药名	枸杞子
中药名	破故纸
功能主治	腰膝腿疼
功能主治	脚膝拘挛
功能主治	筋骨无力
功能主治	肝肾双亏
功能主治	两腿麻木
方名	褊银丸
处方	褊银丸_1
中药名	黑铅
中药名	好墨
功能主治	风涎膈实上热
功能主治	及乳食不消
功能主治	腹胀喘粗
处方	褊银丸_2
中药名	银箔
剂量	3片
中药名	犀角末
剂量	2粒
功能主治	小儿食积
功能主治	壮热作寒
处方	褊银丸_3
中药名	川巴豆
中药名	黄明胶
中药名	百草霜
中药名	香墨
中药名	腻粉
中药名	铅白霜
中药名	青黛
功能主治	常服解心肺痰壅不利
功能主治	主小儿急慢惊风
功能主治	涎潮发搐
处方	褊银丸_4
中药名	蝎梢
剂量	40枚
剂量	半字
功能主治	小儿惊痫
功能主治	涎盛
功能主治	搐搦不定
处方	褊银丸_5
中药名	轻粉
中药名	画粉
中药名	白丁香
功能主治	小儿积痢
来源	小儿药证直诀
别名	水银扁丸子
方名	裨脾散
处方	裨脾散
中药名	大麦芽
中药名	钟乳
功能主治	温健脾胃
功能主治	和中止泻
功能主治	主脾胃虚寒
功能主治	泻痢不禁
功能主治	雷鸣绞痛
别名	建脾丸
方名	裨脾丸
处方	裨脾丸
中药名	大麦糵
中药名	陈面
功能主治	脾滑胃虚弱
功能主治	泄下不禁
方名	表里汤
处方	表里汤
功能主治	太阳
功能主治	阳明合病
功能主治	中风
功能主治	皆大热
功能主治	头痛目疼
功能主治	身重
功能主治	不便
功能主治	小便少者
方名	表里双解汤
处方	表里双解汤
剂量	6g
剂量	3g
中药名	酒黄芩
功能主治	内清外解
功能主治	主风热并重
功能主治	白睛红赤肿胀
功能主治	高出风轮
功能主治	胞肿如桃
功能主治	痛痒间作者
来源	张皆春眼科证治
方名	表里分消汤
处方	表里分消汤
中药名	生石膏
中药名	西药阿斯匹林
功能主治	水臌
功能主治	气臌
来源	衷中参西
方名	表里兼顾汤
处方	表里兼顾汤
功能主治	冬月伤寒
功能主治	谵语
功能主治	发潮热
功能主治	以承气汤下之
功能主治	不应
功能主治	脉反微涩者
功能主治	里虚表邪盛之证
方名	表邪降火汤
处方	表邪降火汤
中药名	腹皮
中药名	苏叶
功能主治	肺寒发喘
功能主治	身热骨酸
功能主治	畏寒头痛
功能主治	脉浮洪
来源	点点经
方名	表解散
处方	表解散_1
功能主治	天行水疹
功能主治	腥臊未出
功能主治	麻子
处方	表解散_2
功能主治	伤寒初作
功能主治	壮热
方名	表虚六合汤
处方	表虚六合汤
中药名	四物汤
功能主治	妊娠伤寒
功能主治	中风表虚
功能主治	自汗
功能主治	头痛项强
功能主治	身热恶寒
功能主治	脉浮而弱大者
来源	元戎
方名	表实六合汤
处方	表实六合汤
功能主治	身热无汗
功能主治	太阳经病
方名	补髓青娥丸
处方	补髓青娥丸
中药名	胡桃
功能主治	腰痛
来源	魏氏家藏方
方名	补髓膏
处方	补髓膏_1
中药名	龙胆草
中药名	龙眼肉
功能主治	解颅
处方	补髓膏_2
中药名	黄犍牛前脚髓
中药名	白蜜
剂量	4斤4两
中药名	胡桃肉
剂量	50个
功能主治	补精血
功能主治	主虚劳
处方	补髓膏_3
来源	东医宝鉴
来源	诚书
方名	补髓丹
处方	补髓丹_1
功能主治	主老年肾虚
功能主治	臂痛
功能主治	不可屈伸者
处方	补髓丹_2
中药名	猪脊膂
中药名	羊脊膂
中药名	团鱼
中药名	乌鸡
剂量	1只
中药名	大山药
剂量	5条
剂量	250克
中药名	京枣
剂量	100枚
中药名	霜柿
中药名	黄蜡
功能主治	补髓生精
功能主治	和血顺气
功能主治	主久痨愈后
功能主治	髓干精竭
功能主治	血枯气少
功能主治	疲惫未复者
处方	补髓丹_3
功能主治	补益真元
功能主治	主肾虚腰痛
来源	十药神书
来源	百一选方
来源	百一
方名	补髓丸
处方	补髓丸_1
处方	补髓丸_2
中药名	柏子
功能主治	霉疮病愈后精髓空虚者
方名	补骨脂裹方
处方	补骨脂裹方
功能主治	打扑伤损
方名	补骨脂煎丸
处方	补骨脂煎丸
中药名	葫芦巴
中药名	巴戟天
功能主治	补虚
功能主治	益血脉
方名	补骨脂煎
处方	补骨脂煎_1
中药名	胡桃瓤
剂量	20两
功能主治	延年益气
功能主治	悦心明目
功能主治	补添筋骨
功能主治	主汗湿脚气
处方	补骨脂煎_2
中药名	胡桃仁
功能主治	妇人带下并脚弱
来源	本草图经
别名	补骨脂散
方名	补骨脂汤
处方	补骨脂汤_1
功能主治	骨虚酸痛多倦
处方	补骨脂汤_2
中药名	益智
剂量	2枚
中药名	姜
功能主治	则气馁
功能主治	骨节无力
功能主治	神情不安
来源	医醇剩义
方名	补骨脂散
处方	补骨脂散_1
中药名	莽草叶
功能主治	主肝脏风冷
功能主治	手足拘急
功能主治	及转筋
功能主治	一切筋寒之病
处方	补骨脂散_2
中药名	茴香子
功能主治	肾气虚冷
功能主治	小便无度
处方	补骨脂散_3
中药名	牵牛
处方	补骨脂散_4
中药名	黑牵牛
功能主治	寒湿气滞
功能主治	脚膝肿满
功能主治	行步艰难
处方	补骨脂散_5
中药名	菌桂
剂量	40粒
功能主治	虚劳小便数
功能主治	水脏虚冷
处方	补骨脂散_6
功能主治	调养气血
功能主治	主牙齿疼痛久不已
处方	补骨脂散_7
中药名	阳起石
处方	补骨脂散_8
功能主治	膀胱久虚
功能主治	便溲不禁
功能主治	腹胁虚满
处方	补骨脂散_9
中药名	缩砂
功能主治	冷劳羸瘦
功能主治	或时泄痢
别名	补骨脂汤
方名	补骨脂丸
处方	补骨脂丸_1
功能主治	主纵欲无度
功能主治	下元虚败
功能主治	手脚沉重
功能主治	夜多盗汗
处方	补骨脂丸_2
中药名	天雄
功能主治	肾气虚损
功能主治	骨痿肉瘦
功能主治	耳鸣心烦
功能主治	小腹里急
功能主治	气引膀胱连腰膝痛
处方	补骨脂丸_3
中药名	巴戟
中药名	覆盆子
中药名	柏子仁
中药名	山茱萸
中药名	蛇床子
功能主治	补中强志
功能主治	助力充肌
功能主治	主脏腑久冷
功能主治	腰膝疼痛
功能主治	脾胃虚弱
功能主治	荣卫不调
处方	补骨脂丸_4
功能主治	肾脏虚冷
功能主治	气攻心腹疼痛
功能主治	腰膝沉重
功能主治	行步无力
处方	补骨脂丸_5
中药名	雄雀儿粪
中药名	硫黄
功能主治	久服强力壮气
功能主治	轻身明目
功能主治	补填精髓
功能主治	润泽颜色
功能主治	主男子五劳七伤
功能主治	久虚积冷
功能主治	腰胯疼痛
功能主治	行履无力
功能主治	脾胃不调
功能主治	或时自泻
功能主治	肾气乏弱
功能主治	梦泄盗汗
功能主治	终日恍惚
功能主治	情常不乐
功能主治	风湿外伤
功能主治	阳道衰绝
处方	补骨脂丸_6
功能主治	壮筋骨
功能主治	益元气
功能主治	主下无虚败
功能主治	脚手沉重
功能主治	纵欲所致
处方	补骨脂丸_7
功能主治	益肾气
功能主治	主瘖俳
处方	补骨脂丸_8
中药名	川萆薢
功能主治	肾虚及寒湿一切腰痛
处方	补骨脂丸_9
中药名	枣
中药名	薏苡仁
中药名	萆薢
剂量	20斤
功能主治	平补诸虚
功能主治	益精壮阳
处方	补骨脂丸_10
功能主治	腰脚疼痛不止
处方	补骨脂丸_11
功能主治	疗水脏
功能主治	补益腰膝
功能主治	进饮食
处方	补骨脂丸_12
中药名	醋牡蛎
功能主治	年老人久带
处方	补骨脂丸_13
中药名	舶茴香
中药名	丁公藤
处方	补骨脂丸_14
中药名	真合州补骨脂
中药名	鱼胶
功能主治	种子
功能主治	主精寒精清
功能主治	及老年人阳虚无火
处方	补骨脂丸_15
中药名	大草乌头
中药名	二味用葱白大者
剂量	10茎
中药名	湿纸裹
中药名	煨
中药名	切碎
中药名	烂研
中药名	拌上药
中药名	同淹1宿
中药名	焙干
中药名	草乌不须葱淹亦可
中药名	川楝子
中药名	台椒
中药名	舶上茴香
功能主治	脾湿流注肾经
功能主治	渐成下部之疾
处方	补骨脂丸_16
中药名	益智仁
中药名	川巴戟
处方	补骨脂丸_17
中药名	大木瓜
中药名	薯蓣
功能主治	补暖
功能主治	主脾肾久冷
功能主治	积气成块
功能主治	或发疼痛
处方	补骨脂丸_18
功能主治	乌髭鬓
功能主治	驻颜壮气
功能主治	主五劳七伤
功能主治	下元久冷
功能主治	一切风病
处方	补骨脂丸_19
中药名	胡桃瓤不计多少
功能主治	骨痿少力
功能主治	气虚不思饮食
处方	补骨脂丸_20
功能主治	温中思食
功能主治	主脾肾冷气
处方	补骨脂丸_21
中药名	摈榔
中药名	腽肭脐
功能主治	温中强力
功能主治	暖胃思食
功能主治	主下无虚冷气
处方	补骨脂丸_22
中药名	荜澄茄
功能主治	补暖脾肾虚冷
功能主治	壮腰脚
功能主治	益颜色
处方	补骨脂丸_23
功能主治	补虚损
功能主治	强筋力
功能主治	暖腰膝
功能主治	逐冷气
处方	补骨脂丸_24
功能主治	梦泄
处方	补骨脂丸_25
功能主治	心腹撮痛
处方	补骨脂丸_26
功能主治	腰痛不可忍
处方	补骨脂丸_27
中药名	石亭脂
中药名	乌雄鸡
中药名	乌龟
功能主治	接骨止痛
功能主治	生肌肉
功能主治	续筋骨
功能主治	主折扑伤损
处方	补骨脂丸_28
功能主治	补益精髓
功能主治	温中下气
功能主治	安五脏
功能主治	利腰脚
功能主治	脐胁冷气刺痛
功能主治	脾肾虚冷
功能主治	小肠气攻冲
来源	本草纲目
来源	医学正印
来源	妇科玉尺
来源	保命歌括
别名	胡芦巴丸
方名	补骨散
处方	补骨散
中药名	古铜钱200
功能主治	补骨
功能主治	主跌扑夹伤
功能主治	筋伤骨损
来源	疡科选粹
方名	补骨丹
处方	补骨丹
中药名	山踯躅
中药名	何首乌
中药名	黄丝瓜
中药名	云母石
功能主治	主打扑伤损
方名	补青丸
处方	补青丸_1
中药名	甘菊花
功能主治	养肝益精
功能主治	滋荣目力
处方	补青丸_2
功能主治	滋荣自力
方名	补阴益阳汤
处方	补阴益阳汤
中药名	枣皮
功能主治	水中补火
功能主治	引火归源
功能主治	主右尺脉弱
功能主治	命门真阳亏损
功能主治	以致肾不化气
功能主治	上冲似喘
来源	会约
方名	补阴益脾汤
处方	补阴益脾汤
功能主治	命门火衰
功能主治	不能生土
功能主治	劳极伤脾
功能主治	则食少恶心
功能主治	疲极又伤肝肾
功能主治	则水液妄行
方名	补阴益肾汤
处方	补阴益肾汤
剂量	3-5钱
剂量	15粒
中药名	金樱子
功能主治	房劳伤肾
功能主治	冲任不固
功能主治	以致经乱者
方名	补阴益气煎
处方	补阴益气煎_1
剂量	3～9克
剂量	6～9克
中药名	熟地9～15克或30～60克
剂量	9～15克30～60克
剂量	0.9～1.5克
剂量	3～6克
功能主治	主劳倦伤阴
功能主治	精不化气
功能主治	或阴虚内乏
功能主治	以致外感不解
功能主治	寒热痰疟
功能主治	或防虚便结不通
处方	补阴益气煎_2
功能主治	气阴两亏
功能主治	不能摄火而火不归经
功能主治	或下血
功能主治	或潮热
功能主治	脉软数者
处方	补阴益气煎_3
中药名	草灰
功能主治	元阴虚弱
功能主治	不能统摄血液而血不归经
功能主治	偏渗前阴
功能主治	溺血不止
功能主治	脉软微数者
处方	补阴益气煎_4
功能主治	崩漏
功能主治	气血两亏
功能主治	清阳下陷
功能主治	脉软弦微数者
来源	景岳全书
方名	补阴煎
处方	补阴煎
中药名	龟胶
中药名	党参
中药名	炒谷芽
功能主治	阴虚
功能主治	精神倦怠
功能主治	唇焦
功能主治	口燥无津
功能主治	脉细数无力
来源	杂病证治新义
方名	补阴清痢饮
处方	补阴清痢饮
中药名	大熟地5钱或8钱
剂量	5钱8钱
中药名	山萸肉
中药名	广木香
功能主治	阴虚久痢不止
功能主治	身热腹不痛
功能主治	口渴舌干
功能主治	腰腿酸软无力
方名	补阴济阳汤
处方	补阴济阳汤
中药名	侧柏叶
中药名	栀仁
中药名	天冬
中药名	炮姜
功能主治	酒毒伤血
功能主治	湿热伏阳
功能主治	血从齿缝流出
功能主治	发尖滴血
功能主治	症
方名	补阴汤
处方	补阴汤_1
功能主治	瘦人火有余
功能主治	水不足者
处方	补阴汤_2
中药名	故纸
功能主治	肾虚腰痛
方名	补阴散邪汤
处方	补阴散邪汤
中药名	砂仁
剂量	1粒
功能主治	春温之症
功能主治	肾肝阴虚
功能主治	满身疼痛
功能主治	夜间发热
功能主治	日间则冷
方名	补阴平肺汤
处方	补阴平肺汤
功能主治	阴虚火自下逆上而喘
方名	补阴升提汤
处方	补阴升提汤
中药名	热地
功能主治	主下痢伤阴
功能主治	虚阳上浮
功能主治	大便纯血
功能主治	色如陈腐屋漏之状
功能主治	肛门大开
功能主治	不能收闭
功能主治	面色反觉红润
功能主治	唇似朱涂
方名	补阴制火汤
处方	补阴制火汤
中药名	芡实
功能主治	肾火不足
功能主治	不交感而两耳无恙
功能主治	一交接妇女
功能主治	耳中作痛
功能主治	或痒发不已
功能主治	或流臭水
功能主治	以凉物投之则快甚
方名	补阴再造丸
处方	补阴再造丸
中药名	焦栀
功能主治	退虚热
功能主治	止盗汗
功能主治	主室女血枯经闭
功能主治	若兼干嗽
功能主治	夜热
功能主治	盗汗
功能主治	则已经闭成痨
功能主治	药最难治
功能主治	此非瘀滞经闭
功能主治	经血不通
功能主治	因精血虚衰
功能主治	血无源至
功能主治	故断而不来
方名	补阴养阳厚朴散
处方	补阴养阳厚朴散
中药名	紫石英
剂量	五加半两
功能主治	百合伤寒病
别名	厚朴散
方名	补阴丹
处方	补阴丹_1
功能主治	妇人血气俱虚
功能主治	四肢困热
处方	补阴丹_2
剂量	7两半
中药名	蚕退纸
剂量	6两半
中药名	糯米
功能主治	润肌体
功能主治	悦颜色
功能主治	调荣卫
功能主治	逐风寒
功能主治	主妇人百疾
功能主治	或经候不匀
功能主治	或崩漏不止
功能主治	腰腿沉重
功能主治	脐腹作痛
功能主治	潮热往来
功能主治	虚烦自汗
功能主治	中满气短
功能主治	呕哕不时
功能主治	肢体酸疼
处方	补阴丹_3
功能主治	滋益肾水真阴
功能主治	镇伏心火大热
功能主治	坚强骨髓
功能主治	补养精气
功能主治	通调血脉
功能主治	润泽肌肤
功能主治	交泰心肾
功能主治	主发热怔忪
功能主治	脚膝痹弱
处方	补阴丹_4
中药名	延胡素
中药名	芫花
中药名	斑猫
中药名	川苦楝子
中药名	大附子
功能主治	大健脾元
功能主治	主小肠气
功能主治	膀胱气刺疼痛
功能主治	妇人产后恶物不尽
功能主治	变作血瘕者
来源	施圆端效方
别名	补阴丸
方名	补阴丸
处方	补阴丸_1
功能主治	滋阴降火
功能主治	强壮筋骨
功能主治	主精血不足
功能主治	虚火亢盛
功能主治	筋骨痿弱
功能主治	腿足消瘦
功能主治	步履乏力
功能主治	精元不固
功能主治	尺脉虚浮洪数
功能主治	久不生育
处方	补阴丸_2
剂量	36克
中药名	夭冬
中药名	女贞子
功能主治	滋肾补肝
功能主治	强筋壮骨
功能主治	主阴虚火烁
功能主治	髓减骨枯
功能主治	腰软无力
功能主治	便结溺赤
处方	补阴丸_3
功能主治	肝热痿软
功能主治	筋膜干急
处方	补阴丸_4
功能主治	阴虚性急腰痛
处方	补阴丸_5
功能主治	补阴
处方	补阴丸_6
剂量	7钱半
处方	补阴丸_7
处方	补阴丸_8
中药名	归身
中药名	虎胫骨
功能主治	痿
处方	补阴丸_9
处方	补阴丸_10
功能主治	泻火补阴
功能主治	主阴虚火旺
功能主治	劳瘵咳嗽
功能主治	咯血吐血
处方	补阴丸_11
中药名	五味
处方	补阴丸_12
功能主治	主血气俱虚兼痰之痛风
处方	补阴丸_13
处方	补阴丸_14
功能主治	滋其真水之化源
功能主治	以制其邪火之元甚
处方	补阴丸_15
中药名	乌药叶
功能主治	主肾经阴亏
处方	补阴丸_16
功能主治	泻冲任之火
功能主治	主一月而经再行
处方	补阴丸_17
功能主治	主腰痛
功能主治	咳血
处方	补阴丸_18
功能主治	孕妇溺血
功能主治	脉虚数者
处方	补阴丸_19
功能主治	肝经血枯筋挛
来源	济阳钢目
来源	准绳·类方
来源	明医杂着
来源	万氏女科
来源	丹溪心法
来源	丹溪治法心要
来源	广嗣纪要
别名	补阴种子丸
别名	济阴丸
别名	大补阴丸
别名	虎潜丸
方名	补阳还五汤
处方	补阳还五汤
中药名	地龙
功能主治	补气活血
功能主治	祛瘀通络
来源	医林改错
方名	补阳益气煎
处方	补阳益气煎
功能主治	益气强阳
功能主治	补气填精种子
方名	补阳益气丸
处方	补阳益气丸
中药名	大熟地
中药名	准山药
中药名	川附子
中药名	鹿茸1付
功能主治	填精益气
方名	补阳滋阴汤
处方	补阳滋阴汤
中药名	生龟版
中药名	生牡蛎
中药名	云故纸
中药名	金石斛
功能主治	神水将枯症属阴虚者
来源	眼科临症笔记
方名	补阳固带长生延寿丹
处方	补阳固带长生延寿丹
中药名	胡椒
中药名	五灵脂
中药名	蛇骨
功能主治	常服除百病
功能主治	益气延年
功能主治	主劳嗽
功能主治	久喘
功能主治	寒劳
功能主治	遗精白浊
功能主治	阳事不举
功能主治	下元极弱
功能主治	精神失常
功能主治	痰膈
功能主治	疾
功能主治	妇人赤白带下
功能主治	久无生育
功能主治	子宫极冷
来源	中国医学大辞典
方名	补金散
处方	补金散
中药名	鹤虱
中药名	雷丸
中药名	定粉
中药名	锡灰
功能主治	腹中诸虫
来源	卫生宝鉴
方名	补遗人参散
处方	补遗人参散
中药名	芒消
功能主治	实热下消
来源	证治宝鉴
方名	补血顺气药酒
处方	补血顺气药酒
中药名	怀熟地黄
中药名	甘州枸杞子
功能主治	清肺滋肾
功能主治	和五脏
功能主治	通血脉
功能主治	乌须发
功能主治	久服貌如童子
功能主治	主痨疾
来源	医便
方名	补血顺气汤
处方	补血顺气汤
剂量	五加
功能主治	骨伤
来源	外科集腋
方名	补血通幽汤
处方	补血通幽汤
中药名	油归
中药名	蒸地
中药名	蒌仁
中药名	麻仁
中药名	楂粉
中药名	莱菔子
功能主治	麻症气不下
功能主治	幽门不通下脘
功能主治	血虚燥
方名	补血退黄丸
处方	补血退黄丸
中药名	针砂
功能主治	贫血黄肿
功能主治	四肢酸软
功能主治	心悸头眩
功能主治	气短气胀
功能主治	食欲失常
方名	补血行滞汤
处方	补血行滞汤_1
中药名	苏梗
功能主治	妊娠过期不产
处方	补血行滞汤_2
功能主治	催生
功能主治	主过月不产
来源	女科指掌
别名	催生汤
方名	补血荣筋丸
处方	补血荣筋丸_1
功能主治	主阴血衰弱
功能主治	不能养筋
功能主治	筋缓不能自主
功能主治	肢体痿软无力者
处方	补血荣筋丸_2
功能主治	阴血衰弱
功能主治	筋缓不能自胜持
功能主治	故痿软无力
方名	补血祛风汤
处方	补血祛风汤
功能主治	妇人肝血虚损
功能主治	风邪乘虚而袭
功能主治	而患头风
功能主治	每发必掉眩
功能主治	如立舟车之上
方名	补血生水汤
处方	补血生水汤
方名	补血汤
处方	补血汤_1
功能主治	血少不能荣养其胎
功能主治	胎不动不坠
功能主治	腹冷如冰者
处方	补血汤_2
中药名	白茯神
剂量	15个
功能主治	劳心思虑
功能主治	损伤精神
功能主治	头眩目昏
功能主治	心虚气短
功能主治	惊悸烦热
处方	补血汤_3
中药名	车前
功能主治	阴血大虚
处方	补血汤_4
中药名	胶珠
功能主治	妇人室女
功能主治	血海不准
功能主治	或多或少
功能主治	或过期
功能主治	身体倦怠
来源	脉症正宗
来源	盘珠集
方名	补血救亡汤
处方	补血救亡汤
中药名	地榆
功能主治	杀伤危亡诸证
来源	洞天奥旨
方名	补血和气饮
处方	补血和气饮
中药名	条参
中药名	仙茅
中药名	金钗
中药名	土苓
中药名	淮耆
